MEAL_ID/LINE NUMBER,COLUMN NAME,FFQ INDEX
0,MILK,
1,BEEF,16
2,BURGER,18
3,PORK,201
4,LAMB,138
5,CHICKEN,47
6,BACON,9
7,HAM,126
8,CORNED_BEEF,70
9,SAUSAGES,200
10,SAVOURY_PIES,255
11,LIVER,147
12,FRIED_FISH,57
13,FISH_FINGERS,102
14,WHITE_FISH,56
15,OILY_FISH,227
16,SHELLFISH,75
17,ROE,N/A
18,WHITE_BREAD,285
19,BROWN_BREAD,26
20,WHOLEMEAL_BREAD,290
21,CRACKERS,76
22,CRISPBREAD,81
23,PORRIDGE,173
24,CEREAL,40
25,BOILED_POTATOES,175
26,CHIPS,49
27,ROAST_POTATOES,205
28,POTATO_SALAD,224
29,WHITE_RICE,286
30,BROWN_RICE,27
31,WHITE_PASTA,244
32,WHOLEMEAL_PASTA,245
33,LASAGNE,141
34,PIZZA,196
35,SINGLE_CREAM,78
36,DOUBLE_CREAM,77
37,LOWFAT_YOGURT,150
38,FULLFAT_YOGURT,124
39,DAIRY_DESSERT,132
40,CHEESE,44
41,COTTAGE_CHEESE,72
42,EGGS,92
43,QUICHE,209
44,LOWCAL_SALAD_CREAM,223
45,SALAD_CREAM,222
46,FRENCH,90
47,OTHER_DRESSING,N/A
48,BUTTER,29
49,HARD_MARGARINE,154
50,POLYUNSATURATED_MARGARINE,156
51,OTHER_MARGARINE,158
52,LOWFAT_SPREAD,151
53,VERY_LOWFAT_SPREAD,95
54,CHOCOLATE_BISCUIT,88
55,PLAIN_BISCUIT,233
56,HOMEBAKED_CAKE,106
57,READYMADE_CAKE,106
58,HOMEBAKED_BUNS,231
59,READYMADE_BUNS,231
60,HOMEBAKED_FRUIT_PIES,112
61,READYMADE_FRUIT_PIES,112
62,HOMEBAKED_SPONGE,250
63,READYMADE_SPONGE,250
64,MILK_PUDDINGS,270
65,ICE_CREAM,132
66,CHOCOLATES,51
67,CHOCOLATE_BARS,160
68,SWEETS,21
69,SUGAR,258
70,CRISPS,204
71,NUTS,187
72,VEGETABLE_SOUP,276
73,MEAT_SOUP,46
74,SAUCES,42
75,KETCHUP,268
76,PICKLES,19
77,MARMITE,N/A
78,JAM,134
79,PEANUT_BUTTER,185
80,TEA,264
81,INSTANT_COFFEE,58
82,DECAFF_COFFEE,58
83,COFFEE_WHITENER,59
84,COCOA,91
85,HORLICKS,131
86,WINE,219
87,BEER,137
88,PORT,236
89,SPIRITS,N/A
90,LOWCAL_FIZZY_DRINKS,35
91,FIZZY_DRINKS,35
92,FRUIT_JUICE,178
93,FRUIT_SQUASH,110
94,APPLES,4
95,PEARS,188
96,ORANGES,179
97,GRAPEFRUIT,120
98,BANANAS,13
99,GRAPES,122
100,MELONS,163
101,PEACHES,184
102,STRAWBERRIES,256
103,TINNED_FRUIT,107
104,DRIED_FRUIT,212
105,CARROTS,37
106,SPINACH,247
107,BROCCOLI,25
108,SPROUTS,28
109,CABBAGE,31
110,PEAS,191
111,GREEN_BEANS,125
112,MARROW,74
113,CAULIFLOWER,38
114,PARSNIPS,183
115,LEEKS,142
116,ONIONS,177
117,GARLIC,115
118,MUSHROOMS,168
119,PEPPERS,193
120,BEANSPROUTS,14
121,GREEN_SALAD,145
122,WATERCRESS,280
123,TOMATOES,269
124,SWEETCORN,262
125,BEETROOT,19
126,COLESLAW,62
127,AVOCADO,7
128,BEANS,10
129,LENTILS,144
130,TOFU,267
