ID,FFQ_1,FFQ_2,FFQ_3,FFQ_4,FFQ_5,FFQ_6,FFQ_7,FFQ_8,FFQ_9,FFQ_10,FFQ_11,FFQ_12,FFQ_13,FFQ_14,FFQ_15,FFQ_16,FFQ_17,FFQ_18,FFQ_19,FFQ_20,FFQ_21,FFQ_22,FFQ_23,FFQ_24,FFQ_25,FFQ_26,FFQ_27,FFQ_28,FFQ_29,FFQ_30,FFQ_31,FFQ_32,FFQ_33,FFQ_34,FFQ_35,FFQ_36,FFQ_37,FFQ_38,FFQ_39,FFQ_40,FFQ_41,FFQ_42,FFQ_43,FFQ_44,FFQ_45,FFQ_46,FFQ_47,FFQ_48,FFQ_49,FFQ_50,FFQ_51,FFQ_52,FFQ_53,FFQ_54,FFQ_55,FFQ_56,FFQ_57,FFQ_58,FFQ_59,FFQ_60,FFQ_61,FFQ_62,FFQ_63,FFQ_64,FFQ_65,FFQ_66,FFQ_67,FFQ_68,FFQ_69,FFQ_70,FFQ_71,FFQ_72,FFQ_73,FFQ_74,FFQ_75,FFQ_76,FFQ_77,FFQ_78,FFQ_79,FFQ_80,FFQ_81,FFQ_82,FFQ_83,FFQ_84,FFQ_85,FFQ_86,FFQ_87,FFQ_88,FFQ_89,FFQ_90,FFQ_91,FFQ_92,FFQ_93,FFQ_94,FFQ_95,FFQ_96,FFQ_97,FFQ_98,FFQ_99,FFQ_100,FFQ_101,FFQ_102,FFQ_103,FFQ_104,FFQ_105,FFQ_106,FFQ_107,FFQ_108,FFQ_109,FFQ_110,FFQ_111,FFQ_112,FFQ_113,FFQ_114,FFQ_115,FFQ_116,FFQ_117,FFQ_118,FFQ_119,FFQ_120,FFQ_121,FFQ_122,FFQ_123,FFQ_124,FFQ_125,FFQ_126,FFQ_127,FFQ_128,FFQ_129,FFQ_130,FFQ_131,FFQ_132,FFQ_133,FFQ_134,FFQ_135,FFQ_136,FFQ_137,FFQ_138,FFQ_139,FFQ_140,FFQ_141,FFQ_142,FFQ_143,FFQ_144,FFQ_145,FFQ_146,FFQ_147,FFQ_148,FFQ_149,FFQ_150,FFQ_151,FFQ_152,FFQ_153,FFQ_154,FFQ_155,FFQ_156
FS_12gwOcGLAaHdDxy,4,2,1,1,3,1,1,1,2,2,1,1,1,1,1,1,1,3,6,3,1,1,2,6,2,3,2,1,4,1,2,1,1,3,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,2,6,2,1,2,3,1,2,1,1,2,1,6,2,1,1,2,1,1,1,1,1,1,2,3,1,3,1,4,1,1,4,1,2,1,4,4,1,5,1,1,1,1,1,1,1,1,1,6,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,,3,2,1,"cheerios, shreddies, rice krispers, cornflakes, porridge",3,subflower,1,flora,4,4,3,0,1,2,2,2,,7,1,7,2.0,5.0,2,
FS_1BPDTtYtaq9zgqR,3,3,3,2,4,3,2,2,4,1,1,1,1,2,4,4,1,5,4,1,1,1,5,1,3,3,2,2,4,1,4,1,3,4,1,1,1,2,1,4,1,5,2,3,3,1,4,2,1,1,2,3,1,2,1,1,2,1,3,2,2,1,1,1,3,1,3,1,1,4,1,3,2,4,5,1,1,1,1,5,8,1,1,1,1,4,4,1,4,5,5,3,4,1,1,1,1,1,4,1,1,3,2,1,1,1,2,1,4,3,1,1,1,2,2,5,5,1,3,1,3,1,5,4,1,4,3,4,4,1,2,,3,3,1,Weatabix,3,Vegetable ?,6,,3,3,3,3,3,4,4,2,,2,3,2,1.0,4.0,1,
FS_1cYewBJMiaxmc8o,2,2,2,1,3,1,4,1,1,1,1,2,2,1,1,1,1,3,4,1,1,1,3,1,1,2,1,1,2,1,3,1,1,2,1,1,1,2,2,4,1,4,1,1,1,1,1,3,1,1,1,1,1,4,5,2,1,1,2,1,2,1,1,1,2,5,1,3,5,4,1,1,1,1,1,1,1,4,1,7,4,1,1,3,1,4,1,1,1,1,1,1,1,4,1,5,1,4,1,1,1,1,1,1,1,5,4,1,1,4,1,1,1,1,1,4,4,4,4,1,2,1,1,1,1,1,1,1,1,1,2,,3,3,1,,4,Sunflower,1,,4,3,3,0,2,1,5,2,,7,0,7,0.0,0.0,2,
FS_1eQnWt7aaeUPSL7,2,1,1,1,3,2,1,1,2,2,1,1,1,1,1,2,1,2,4,4,2,1,1,1,2,2,2,1,4,1,3,1,1,2,1,1,2,2,4,4,1,3,2,1,2,3,3,4,1,1,4,4,1,4,1,1,4,1,3,1,1,1,2,3,3,3,4,2,5,6,4,1,1,2,4,4,2,2,2,7,1,6,1,1,1,3,1,1,1,3,3,2,6,2,2,2,1,2,2,1,3,2,1,2,4,2,3,1,3,5,1,1,1,1,1,5,5,4,4,2,4,3,4,4,2,2,2,2,3,1,1,"Dumpling, about 7, twice a week",8,2,2,,3,Rapeseed,1,,4,4,2,Once,2,1,3,2,,7,4,2,0.0,3.0,1,Holland and Barrett ultimate strength vitamin D
FS_1li3dwv4rsHnbtI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_1LtUUQEE1TAX5MH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_1mIQ10ID06DAe7V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_22P2azkCw7hJIzR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_26govp39DX6LyXK,3,4,1,1,3,1,1,1,2,1,1,1,1,1,2,1,1,4,3,2,1,1,1,2,5,7,2,3,3,1,4,1,2,4,1,1,1,1,5,8,1,4,1,1,2,1,1,1,1,1,1,1,1,4,4,1,2,1,4,1,1,1,2,1,4,4,4,1,4,8,4,4,2,5,1,7,1,1,1,4,5,1,1,2,1,4,3,2,1,6,7,4,4,3,1,3,1,1,1,1,1,2,2,1,2,1,3,1,2,2,3,1,1,1,2,3,4,4,2,2,3,1,4,3,2,3,1,4,2,1,2,,3,2,2,,3,Sunflower,1,,4,3,3,1,1,1,1,2,,7,2,3,2.0,5.0,2,
FS_2tKXESups88CeYM,1,2,1,1,4,2,2,6,2,1,2,1,1,1,2,1,1,6,2,2,1,2,1,2,2,3,3,1,2,1,3,1,1,2,2,1,6,1,1,6,1,3,1,1,6,1,1,3,1,1,1,1,1,6,3,1,1,1,1,1,1,1,1,1,1,3,2,1,1,6,3,1,1,3,1,6,1,2,2,2,2,1,1,3,1,3,1,1,3,7,2,2,2,3,1,6,1,3,2,1,1,6,1,1,4,4,4,1,1,4,2,2,1,3,1,6,6,1,6,1,6,1,6,2,2,2,2,2,1,1,2,,3,2,2,,3,,1,,4,4,3,1,2,5,5,2,,7,7,7,0.0,14.0,2,
